position,content,type,speaker
1052,Yes.,dialog,Shrek
1053,You wanna hold her?,dialog,Donkey
1054,Yes.,dialog,Shrek
1055,Please her?,dialog,Donkey
1056,Yes!,dialog,Shrek
1057,"(singing) ""Then you got to, got to try a little tenderness"". (talking) The chicks love that romantic crap!",dialog,Donkey
1058,All right! Cut it out! When does this guy say the line?,dialog,Shrek
1059,We gotta check it out.,dialog,Donkey
1060,INTERIOR,setting,
1061,As the bishop talks we see Donkey through one of the windows as Shrek tosses him up so he can see.,setting,
1062,"And so, by the power vested in me...",dialog,Bishop
1063,EXTERIOR,setting,
1064,What do you see?!,dialog,Shrek
1065,The whole town's in there.,dialog,Donkey
1066,I now pronounce you husband and wife...,dialog,Bishop
1067,They're at the altar!,dialog,Donkey
1068,...king and queen.,dialog,Bishop
1069,Mother Fletcher! He already said it.,dialog,Donkey
1070,"Oh, for the love of Pete!",dialog,Shrek
1071,"(Shrek runs inside without catching Donkey, who hits the ground hard)",action,
1072,INTERIOR,setting,
1073,"(Fiona and Lord Farquaad are leaning in to kiss, but are interrupted when Shrek bursts through the doors. They both turn to see him running down the aisle)",action,
1074,I object!,dialog,Shrek
1075,Shrek?,dialog,Fiona
1076,"(Fiona initially looks happily surprised to see him, but quickly becomes upset. The bishop gasps, shuts his book, and quietly slinks off)",action,
1077,"Oh, now what does he want?",dialog,Lord Farquaad
1078,"(The whole congregation gasps as they see Shrek walk ahead towards the altar. They respond positively to him and begin to do ""the wave"")",action,
1079,"Hi, everyone. Having a good time, are ya? I love Duloc, first of all. Very clean.",dialog,Shrek
1080,What are you doing here?,dialog,Fiona
1081,"Really, it's rude enough being alive when no one wants you, but showing up uninvited to a wedding...",dialog,Lord Farquaad
1082,"(Shrek initially seems taken aback by Farquaad's unnessarily harsh comment, but he quickly brushes it off and turns his attention towards Fiona)",action,
1083,Fiona! I need to talk to you.,dialog,Shrek
1084,"Oh, now you wanna talk? It's a little late for that, so if you'll excuse me--",dialog,Fiona
1085,(She leans over to kiss Farquaad but Shrek pulls her away by the hand),action,
1086,But you can't marry him!,dialog,Shrek
1087,(She frees her hand from his grip),action,
1088,And why not?,dialog,Fiona
1089,Because--because he's just marrying you so he can be king!,dialog,Shrek
1090,(The crowd gasps),action,
1091,"Outrageous! Fiona, don't listen to him--",dialog,Lord Farquaad
1092,He's not your true love.,dialog,Shrek
1093,And what do you know about true love?!,dialog,FIONA
1094,"Well, I--uh--I mean...",dialog,Shrek
1095,(Fiona is taken aback by this),action,
1096,"Oh, this is precious. (laughs) The ogre has fallen in love with the princess! Oh, good Lord. (laughs)",dialog,Lord Farquaad
1097,(Lord Farquaad gestures to the man with the prompter card holds up a card that says 'Laugh'. The whole congregation laughs),action,
1098,An ogre and a princess! (laughs),dialog,Lord Farquaad
1099,"(Shrek looks back at the laughing crowd and then down at the floor, dejected)",action,
1100,"Shrek, is this true?",dialog,Fiona
1101,"Who cares?! It's preposterous! Fiona, my love, we're but a kiss away from our ""happily ever after."" Now kiss me!",dialog,Lord Farquaad
1102,"(Lord Farquaad holds Fiona's hand, puckers his lips, and leans toward her. She looks down at him with disgust, and then averts her attention to the window. The sun is just about to set)",action,
1103,"""By night one way, by day another."" I wanted to show you before.",dialog,Fiona
1104,"(Fiona backs up and gives Shrek a sheepish smile. As the sun sets, she changes into her ogre self. The crowd gasps and one person faints. Shrek stares at Fiona in astonishment, and then grins)",action,
1105,"Well, uh, that explains a lot!",dialog,Shrek
1106,(Fiona locks eyes with Shrek and smiles),action,
1107,Ugh! It's disgusting! Guards! Guards! I order you to get them out of my sight now!,dialog,Lord Farquaad
1108,(A large amount of guards run in and grab ahold of Shrek and Fiona),action,
1109,Get them! Get them both!,dialog,Lord Farquaad
1110,"No, no! Shrek!",dialog,Fiona
1111,(Shrek and Fiona try to grab each other's arms but are pulled away from each other. Lord Farquaad grabs ahold of his crown and puts it on),action,
1112,"This hocus-pocus alters nothing! This marriage is binding, and that makes me king! See?! See?!",dialog,Lord Farquaad
1113,"No, let go of me! Shrek!",dialog,Fiona
1114,No!,dialog,Shrek
1115,"Don't just stand there, you morons!",dialog,Lord Farquaad
1116,Get out of my way! Fiona!,dialog,Shrek
1117,Kill him if you have to--but get him!,dialog,Lord Farquaad
1118,"(Shrek angrily fights back and knocks out a few of the guards, but they are able to subdue him through sheer numbers)",action,
1119,"Beast, I'll make you regret the day we met! I'll see you drawn and quartered! You'll beg for death to save you!",dialog,Lord Farquaad
1120,"No, Shrek!",dialog,Fiona
1121,"And as for you, my wife!",dialog,Lord Farquaad
1122,(Lord Farquaad pulls out a dagger and holds it to Fiona's throat),action,
1123,Fiona!,dialog,Shrek
1124,I'll have you locked back in that tower for the rest of your days! I am king!,dialog,Lord Farquaad
1125,(Shrek manages to pulls his arm free and he whistles loudly),action,
1126,I will have order! I will have perfection! I will have--,dialog,Lord Farquaad
1127,"Suddenly Dragon, with Donkey atop her head, crashes through a large window behind him. Lord Farquaad drops his weapon and looks up.",setting,
1128,(Screaming),dialog,Lord Farquaad
1129,Dragon swoops down and swallows him up in one gulp. The guards either run away or step back.,setting,
1130,"All right! Nobody move! I got a dragon here, and I'm not afraid to use it.",dialog,Donkey
1131,"(Dragon roars, causing most of the guards to away in fear. The remaining guards let go of Shrek and Fiona, backing away)",action,
1132,I'm a donkey on the edge!,dialog,Donkey
1133,(Dragon belches and Lord Farquaad's crown flies out of her mouth and falls to the ground),action,
1134,"Celebrity marriages. They never last, do they?",dialog,Donkey
1135,(The congregation laughs and cheers),action,
1136,"Go ahead, Shrek.",dialog,Donkey
1137,"Uh, Fiona?",dialog,Shrek
1138,"Yes, Shrek?",dialog,Fiona
1139,I -- I love you.,dialog,Shrek
1140,Really?,dialog,Fiona
1141,"Really, really.",dialog,Shrek
1142,I love you too.,dialog,Fiona
1143,(Shrek and Fiona kiss. Thelonius takes one of the cards and writes 'Awwww' on the back and shows it to the congregation. Suddenly the magic of the spell pulls Fiona away. She's lifted up into the air and she hovers while the magic works around her. Fiona's voice is heard although she isn't moving her lips),action,
1144,"""Until you find true love's first kiss and then take love's true form. Take love's true form. Take love's true form.""",dialog,Fiona
1145,"(Suddenly Fiona's eyes open wide and light up. The force of the spell blows against the crowd and all the windows. All except for one with an image of Farquaad on it, which Dragon breaks with her fist. Fiona is lowered to the ground and Shrek runs up to her)",action,
1146,Fiona? Fiona. Are you all right?,dialog,Shrek
1147,"(Fiona slowly stands up, still an ogress)",action,
1148,"Well, yes...but I don't understand. I'm supposed to be beautiful.",dialog,Fiona
1149,But you are beautiful.,dialog,Shrek
1150,(They smile at each other),action,
1151,I was hoping this would be a happy ending.,dialog,Donkey
1152,(Shrek and Fiona),action,
1153,THE SWAMP,setting,
1154,"Shrek and Fiona are now joined in matrimony in Shrek's swamp. Among the attendees are the fairytale creatures once banished to the swamp, as well as a few Duloc Guards. Shrek and Fiona walk down the aisle to their awaiting carriage, which is made of a giant onion. Fiona tosses her bouquet which both Cinderella and Snow White try to catch. They end get into a cat fight and Dragon catches the bouquet instead. Donkey looks nervous, but Shrek and Fiona give him reassuring looks. Gingy has been mended somewhat and now has one leg and walks with a candy cane cane.",setting,
1155,"God bless us, every one.",dialog,Gingy
1156,"The guests party and dance as Donkey takes over singing The Monkees song. Shrek and Fiona ride away in their carriage. Cut to a storybook that reads ""And they lived ugly ever after...THE END"".",setting,
1157,"(as he's done singing and we fade to black) Oh, that's funny. Oh. Oh. I can't breathe. I can't breathe.",dialog,Donkey
1158,THE END,setting,
